time,exit_time,direction,entry,exit,lot,pnl,commission,result,regime,ai_score,spread,slippage,session
2025-12-02 19:10:00+00:00,2025-12-02 20:30:00+00:00,SELL,4196.30608,4203.97571,0.05,-38.52,0.35,SL,HIGH_VOLATILITY,0.8,25.17,0.49,NEW_YORK
2025-12-03 03:40:00+00:00,2025-12-03 05:35:00+00:00,BUY,4222.26569,4214.79934,0.1,-75.01,0.7,SL,TRENDING,0.8,39.98,1.18,TOKYO
2025-12-03 07:25:00+00:00,2025-12-03 09:05:00+00:00,BUY,4203.87198,4197.50188,0.09,-57.65,0.63,SL,HIGH_VOLATILITY,0.8,39.64,0.78,TOKYO
2025-12-03 21:00:00+00:00,2025-12-04 03:00:00+00:00,BUY,4206.35769,4198.47284,0.03,-23.76,0.21,SL,HIGH_VOLATILITY,0.8,27.95,0.67,NEW_YORK
2025-12-04 04:45:00+00:00,2025-12-04 05:40:00+00:00,SELL,4197.16034,4181.70293,0.05,77.11,0.35,TP,HIGH_VOLATILITY,0.8,57.82,0.77,TOKYO
2025-12-04 07:20:00+00:00,2025-12-04 09:55:00+00:00,SELL,4193.76509,4200.71761,0.08,-55.9,0.56,SL,HIGH_VOLATILITY,0.8,38.86,1.19,TOKYO
2025-12-04 12:05:00+00:00,2025-12-04 13:05:00+00:00,BUY,4196.18527,4188.4536,0.05,-38.83,0.35,SL,HIGH_VOLATILITY,0.8,22.52,1.14,LONDON
2025-12-04 20:35:00+00:00,2025-12-05 01:00:00+00:00,BUY,4207.42725,4200.37644,0.02,-14.17,0.14,SL,HIGH_VOLATILITY,0.8,32.51,0.6,NEW_YORK
2025-12-05 07:35:00+00:00,2025-12-05 09:05:00+00:00,BUY,4226.69623,4218.72881,0.04,-32.01,0.28,SL,HIGH_VOLATILITY,0.8,33.49,0.71,TOKYO
2025-12-05 10:50:00+00:00,2025-12-05 14:50:00+00:00,BUY,4223.5782,4244.32263,0.04,82.84,0.28,TP,TRENDING,0.8,26.49,0.47,LONDON
2025-12-08 02:10:00+00:00,2025-12-08 15:00:00+00:00,BUY,4200.17708,4191.9518,0.05,-41.3,0.35,SL,HIGH_VOLATILITY,0.8,56.07,0.51,TOKYO
2025-12-08 20:10:00+00:00,2025-12-08 20:40:00+00:00,SELL,4189.16423,4195.30432,0.03,-18.53,0.21,SL,HIGH_VOLATILITY,0.8,24.16,0.98,NEW_YORK
2025-12-08 23:25:00+00:00,2025-12-09 01:00:00+00:00,SELL,4192.57656,4196.67667,0.02,-8.27,0.14,SL,HIGH_VOLATILITY,0.8,28.86,0.44,NEW_YORK
2025-12-09 03:15:00+00:00,2025-12-09 06:05:00+00:00,SELL,4194.0148,4177.06941,0.04,67.64,0.28,TP,HIGH_VOLATILITY,0.8,50.56,1.22,TOKYO
2025-12-09 06:35:00+00:00,2025-12-09 08:40:00+00:00,SELL,4182.25578,4189.88982,0.05,-38.35,0.35,SL,HIGH_VOLATILITY,0.8,42.77,0.82,TOKYO
2025-12-09 10:40:00+00:00,2025-12-09 14:05:00+00:00,BUY,4202.7638,4195.40257,0.04,-29.58,0.28,SL,HIGH_VOLATILITY,0.8,29.22,0.62,LONDON
2025-12-09 20:25:00+00:00,2025-12-10 05:15:00+00:00,BUY,4210.73954,4202.77267,0.02,-16.0,0.14,SL,HIGH_VOLATILITY,0.8,22.5,1.11,NEW_YORK
2025-12-10 07:05:00+00:00,2025-12-10 10:30:00+00:00,SELL,4207.6255,4191.30362,0.04,65.15,0.28,TP,HIGH_VOLATILITY,0.8,33.4,1.15,TOKYO
2025-12-10 11:05:00+00:00,2025-12-10 12:05:00+00:00,SELL,4193.35951,4199.99565,0.05,-33.36,0.35,SL,HIGH_VOLATILITY,0.8,21.44,0.95,LONDON
2025-12-10 13:50:00+00:00,2025-12-10 19:00:00+00:00,SELL,4202.62373,4208.56269,0.05,-29.87,0.35,SL,HIGH_VOLATILITY,0.8,21.13,1.73,LONDON
2025-12-11 01:35:00+00:00,2025-12-11 02:30:00+00:00,BUY,4235.96369,4226.89875,0.04,-36.4,0.28,SL,TRENDING,0.8,32.11,0.64,TOKYO
2025-12-11 05:40:00+00:00,2025-12-11 10:05:00+00:00,BUY,4208.96413,4224.58073,0.04,62.33,0.28,TP,HIGH_VOLATILITY,0.8,42.94,1.22,TOKYO
2025-12-11 10:35:00+00:00,2025-12-11 13:15:00+00:00,BUY,4214.64534,4207.33641,0.04,-29.38,0.28,SL,HIGH_VOLATILITY,0.8,27.54,1.52,LONDON
2025-12-11 23:45:00+00:00,2025-12-12 01:00:00+00:00,BUY,4275.81432,4267.27055,0.02,-17.16,0.14,SL,TRENDING,0.8,32.12,0.9,NEW_YORK
2025-12-12 03:05:00+00:00,2025-12-12 08:05:00+00:00,BUY,4271.71153,4292.09866,0.04,81.41,0.28,TP,HIGH_VOLATILITY,0.8,49.49,1.28,TOKYO
2025-12-15 00:00:00+00:00,2025-12-15 01:35:00+00:00,BUY,4302.7328,4321.40441,0.01,18.64,0.07,TP,HIGH_VOLATILITY,0.8,30.65,0.6,NEW_YORK
2025-12-15 03:20:00+00:00,2025-12-15 05:30:00+00:00,BUY,4321.29218,4333.82551,0.03,37.49,0.21,TP,TRENDING,0.8,39.46,0.9,TOKYO
2025-12-15 07:05:00+00:00,2025-12-15 07:35:00+00:00,BUY,4342.15659,4335.1194,0.07,-49.51,0.49,SL,TRENDING,0.8,33.2,0.89,TOKYO
2025-12-15 09:40:00+00:00,2025-12-15 11:00:00+00:00,BUY,4346.27512,4337.57404,0.04,-34.94,0.28,SL,TRENDING,0.8,46.23,0.87,TOKYO
2025-12-15 13:10:00+00:00,2025-12-15 14:10:00+00:00,BUY,4337.21481,4329.78429,0.04,-29.86,0.28,SL,HIGH_VOLATILITY,0.8,40.19,1.14,LONDON
2025-12-16 05:10:00+00:00,2025-12-16 05:30:00+00:00,SELL,4291.25156,4274.30849,0.04,67.63,0.28,TP,HIGH_VOLATILITY,0.8,33.55,1.14,TOKYO
2025-12-16 06:35:00+00:00,2025-12-16 10:30:00+00:00,SELL,4290.53314,4275.56021,0.05,74.69,0.35,TP,HIGH_VOLATILITY,0.8,35.92,0.59,TOKYO
2025-12-16 11:35:00+00:00,2025-12-16 12:05:00+00:00,SELL,4278.51524,4285.50584,0.08,-56.2,0.56,SL,HIGH_VOLATILITY,0.8,21.51,0.58,LONDON
